2θ (°),I (count),σ (count),,
13.700,333,18.2,,
13.715,372,19.3,,
13.730,360,19.0,,
13.745,348,18.7,,
13.760,340,18.4,,
13.775,348,18.7,,
13.790,355,18.8,,
13.805,379,19.5,,
13.820,341,18.5,,
13.835,361,19.0,,
13.850,373,19.3,,
13.865,320,17.9,,
13.880,343,18.5,,
13.895,362,19.0,,
13.910,376,19.4,,
13.925,351,18.7,,
13.940,349,18.7,,
13.955,358,18.9,,
13.970,327,18.1,,
13.985,337,18.4,,
14.000,330,18.2,,
14.015,346,18.6,,
14.030,361,19.0,,
14.045,361,19.0,,
14.060,359,18.9,,
14.075,349,18.7,,
14.090,384,19.6,,
14.105,346,18.6,,
14.120,346,18.6,,
14.135,313,17.7,,
14.150,342,18.5,,
14.165,334,18.3,,
14.180,350,18.7,,
14.195,360,19.0,,
14.210,368,19.2,,
14.225,343,18.5,,
14.240,361,19.0,,
14.255,364,19.1,,
14.270,346,18.6,,
14.285,348,18.7,,
14.300,345,18.6,,
14.315,351,18.7,,
14.330,340,18.4,,
14.345,367,19.2,,
14.360,390,19.7,,
14.375,328,18.1,,
14.390,321,17.9,,
14.405,327,18.1,,
14.420,343,18.5,,
14.435,345,18.6,,
14.450,334,18.3,,
14.465,341,18.5,,
14.480,351,18.7,,
14.495,373,19.3,,
14.510,375,19.4,,
14.525,364,19.1,,
14.540,355,18.8,,
14.555,360,19.0,,
14.570,363,19.1,,
14.585,345,18.6,,
14.600,360,19.0,,
14.615,375,19.4,,
14.630,380,19.5,,
14.645,367,19.2,,
14.660,326,18.1,,
14.675,350,18.7,,
14.690,337,18.4,,
14.705,335,18.3,,
14.720,346,18.6,,
14.735,329,18.1,,
14.750,333,18.2,,
14.765,355,18.8,,
14.780,373,19.3,,
14.795,356,18.9,,
14.810,355,18.8,,
14.825,340,18.4,,
14.840,348,18.7,,
14.855,361,19.0,,
14.870,352,18.8,,
14.885,371,19.3,,
14.900,339,18.4,,
14.915,384,19.6,,
